year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
1976,01,AL,Alabama,3713998.8,,,,,,,,,,73.33348997824676
1976,02,AK,Alaska,361263.4,,,,,,,,,,0.6330835528014596
1976,04,AZ,Arizona,2339289.0,,,,,,,,,,20.593405923970685
1976,05,AR,Arkansas,2141179.0,,,,,,,,,,41.148443331357754
1976,06,CA,California,22181994.8,,,,,,,,,,142.39379809450838
1976,08,CO,Colorado,2616882.0,,,,,,,,,,25.249269383258063
1976,09,CT,Connecticut,3077229.2,,,,,,,,,,635.481294244955
1976,10,DE,Delaware,575844.4,,,,,,,,,,295.5260861978712
1976,11,DC,District of Columbia,685603.8,,,,,,,,,,11230.201474201476
1976,12,FL,Florida,8563571.6,,,,,,,,,,159.69435760644896
1976,13,GA,Georgia,5113693.0,,,,,,,,,,88.91293155744853
1976,15,HI,Hawaii,886239.0,,,,,,,,,,137.98693058762532
1976,16,ID,Idaho,851387.8,,,,,,,,,,10.301980370537803
1976,17,IL,Illinois,11301501.2,,,,,,,,,,203.5612213708009
1976,18,IN,Indiana,5371602.0,,,,,,,,,,149.93539627941743
1976,19,IA,Iowa,2878035.2,,,,,,,,,,51.52493871418027
1976,20,KS,Kansas,2316838.6,,,,,,,,,,28.33751066552901
1976,21,KY,Kentucky,3483948.6,,,,,,,,,,88.23174292679444
1976,22,LA,Louisiana,3980062.4,,,,,,,,,,92.12275743624997
1976,23,ME,Maine,1071615.2,,,,,,,,,,34.744284912064096
1976,24,MD,Maryland,4099144.6,,,,,,,,,,422.2879182939305
1976,25,MA,Massachusetts,5717890.2,,,,,,,,,,733.0572072522519
1976,26,MI,Michigan,9107280.0,,,,,,,,,,161.07989366613074
1976,27,MN,Minnesota,3967570.4,,,,,,,,,,49.827110842412985
1976,28,MS,Mississippi,2399147.6,,,,,,,,,,51.12916469802723
1976,29,MO,Missouri,4820612.0,,,,,,,,,,70.12664252987132
1976,30,MT,Montana,749777.6,,,,,,,,,,5.15148908453559
1976,31,NE,Nebraska,1535292.2,,,,,,,,,,19.984494463135754
1976,32,NV,Nevada,675791.0,,,,,,,,,,6.155800110729362
1976,33,NH,New Hampshire,847438.4,,,,,,,,,,94.6578275706076
1976,34,NJ,New Jersey,7286159.4,,,,,,,,,,990.7453679656035
1976,35,NM,New Mexico,1188136.4,,,,,,,,,,9.795173298191274
1976,36,NY,New York,17829630.0,,,,,,,,,,378.33634650641676
1976,37,NC,North Carolina,5561883.2,,,,,,,,,,114.39988267698055
1976,38,ND,North Dakota,638734.6,,,,,,,,,,9.25691586184508
1976,39,OH,Ohio,10739384.8,,,,,,,,,,262.82925716623976
1976,40,OK,Oklahoma,2838865.6,,,,,,,,,,41.38594519827416
1976,41,OR,Oregon,2416417.0,,,,,,,,,,25.174154563679362
1976,42,PA,Pennsylvania,11835900.6,,,,,,,,,,264.53255167882133
1976,44,RI,Rhode Island,946982.4,,,,,,,,,,916.0120331588978
1976,45,SC,South Carolina,2909298.4,,,,,,,,,,96.78079352776216
1976,46,SD,South Dakota,680663.6,,,,,,,,,,8.978427932621914
1976,47,TN,Tennessee,4324146.8,,,,,,,,,,104.8661885926727
1976,48,TX,Texas,13016206.6,,,,,,,,,,49.826288699790695
1976,49,UT,Utah,1300331.4,,,,,,,,,,15.824965479942588
1976,50,VT,Vermont,484605.6,,,,,,,,,,52.57930747147014
1976,51,VA,Virginia,5067488.4,,,,,,,,,,128.3230400335882
1976,53,WA,Washington,3842961.2,,,,,,,,,,57.82756947805088
1976,54,WV,West Virginia,1867481.2,,,,,,,,,,77.68803084755478
1976,55,WI,Wisconsin,4590552.6,,,,,,,,,,84.7625383601254
1976,56,WY,Wyoming,414700.6,,,,,,,,,,4.27116272066183
1980,01,AL,Alabama,3893888.0,,,,,,,,,,76.88543050267418
1980,02,AK,Alaska,401851.0,,,,,,,,,,0.7042098888977386
1980,04,AZ,Arizona,2718215.0,,,,,,,,,,23.929195958099225
1980,05,AR,Arkansas,2286435.0,,,,,,,,,,43.93992329848788
