year,state_fips,state_abbr,state_name,party_detailed,party_simplified,votes,total_votes,vote_pct,vote_share_of_total,candidate_examples,writein_count,democratic_votes_state,republican_votes_state,two_party_total_votes,two_party_vote_share,two_party_vote_pct
1976,01,AL,Alabama,DEMOCRAT,DEMOCRAT,659170,1182850,55.73,0.5572726888447394,"CARTER, JIMMY",0,659170,504070,1163240,0.5666672397785496,56.67
1976,01,AL,Alabama,LIBERTARIAN,LIBERTARIAN,1481,1182850,0.13,0.0012520607008496428,"MACBRIDE, ROGER",0,659170,504070,1163240,,
1976,01,AL,Alabama,AMERICAN INDEPENDENT PARTY,OTHER,9198,1182850,0.78,0.0077761339138521365,"MADDOX, LESTER",0,659170,504070,1163240,,
1976,01,AL,Alabama,COMMUNIST PARTY USE,OTHER,1954,1182850,0.17,0.0016519423426469967,"HALL, GUS",0,659170,504070,1163240,,
1976,01,AL,Alabama,OTHER,OTHER,308,1182850,0.03,0.0002603880458215327,,1,659170,504070,1163240,,
1976,01,AL,Alabama,PROHIBITION,OTHER,6669,1182850,0.56,0.005638077524622733,"BUBAR, BENJAMIN """"BEN""""",0,659170,504070,1163240,,
1976,01,AL,Alabama,REPUBLICAN,REPUBLICAN,504070,1182850,42.61,0.42614870862746757,"FORD, GERALD",0,659170,504070,1163240,0.43333276022145045,43.33
1976,02,AK,Alaska,DEMOCRAT,DEMOCRAT,44058,123574,35.65,0.3565313091750692,"CARTER, JIMMY",0,44058,71555,115613,0.38108171226419174,38.11
1976,02,AK,Alaska,LIBERTARIAN,LIBERTARIAN,6785,123574,5.49,0.054906371890527134,"MACBRIDE, ROGER",0,44058,71555,115613,,
1976,02,AK,Alaska,OTHER,OTHER,1176,123574,0.95,0.00951656497321443,,1,44058,71555,115613,,
1976,02,AK,Alaska,REPUBLICAN,REPUBLICAN,71555,123574,57.9,0.5790457539611893,"FORD, GERALD",0,44058,71555,115613,0.6189182877358083,61.89
1976,04,AZ,Arizona,DEMOCRAT,DEMOCRAT,295602,742719,39.8,0.39799978188251545,"CARTER, JIMMY",0,295602,418642,714244,0.41386696983103816,41.39
1976,04,AZ,Arizona,LIBERTARIAN,LIBERTARIAN,7647,742719,1.03,0.010295953112819249,"MACBRIDE, ROGER",0,295602,418642,714244,,
1976,04,AZ,Arizona,AMERICAN,OTHER,564,742719,0.08,0.0007593719832130322,"ANDERSON, THOMAS J.",0,295602,418642,714244,,
1976,04,AZ,Arizona,AMERICAN INDEPENDENT PARTY,OTHER,85,742719,0.01,0.00011444435917217683,"MADDOX, LESTER",0,295602,418642,714244,,
1976,04,AZ,Arizona,INDEPENDENT,OTHER,19229,742719,2.59,0.02589000685319751,"MCCARTHY, EUGENE """"GENE""""",0,295602,418642,714244,,
1976,04,AZ,Arizona,OTHER,OTHER,22,742719,0.0,2.9620892962210473e-05,,1,295602,418642,714244,,
1976,04,AZ,Arizona,SOCIALIST WORKERS,OTHER,928,742719,0.12,0.00124946312131506,"CAMEJO, PETER",0,295602,418642,714244,,
1976,04,AZ,Arizona,REPUBLICAN,REPUBLICAN,418642,742719,56.37,0.5636613577948053,"FORD, GERALD",0,295602,418642,714244,0.5861330301689619,58.61
1976,05,AR,Arkansas,DEMOCRAT,DEMOCRAT,498604,767535,64.96,0.6496172812966184,"CARTER, JIMMY",0,498604,267903,766507,0.6504885147819915,65.05
1976,05,AR,Arkansas,AMERICAN INDEPENDENT PARTY,OTHER,389,767535,0.05,0.000506817278690874,"MADDOX, LESTER",0,498604,267903,766507,,
1976,05,AR,Arkansas,INDEPENDENT,OTHER,639,767535,0.08,0.000832535324122027,,0,498604,267903,766507,,
1976,05,AR,Arkansas,REPUBLICAN,REPUBLICAN,267903,767535,34.9,0.3490433661005687,"FORD, GERALD",0,498604,267903,766507,0.34951148521800846,34.95
1976,06,CA,California,DEMOCRAT,DEMOCRAT,3742284,7803770,47.95,0.47954821836112543,"CARTER, JIMMY",0,3742284,3882244,7624528,0.49082172693181797,49.08
1976,06,CA,California,AMERICAN INDEPENDENT PARTY,OTHER,51098,7803770,0.65,0.006547860841618859,"MADDOX, LESTER",0,3742284,3882244,7624528,,
1976,06,CA,California,INDEPENDENT,OTHER,86413,7803770,1.11,0.0110732376787117,"CAMEJO, PETER; HALL, GUS; MACBRIDE, ROGER",0,3742284,3882244,7624528,,
1976,06,CA,California,PEACE & FREEDOM,OTHER,41731,7803770,0.53,0.005347543559074653,"WRIGHT, MARGARET",0,3742284,3882244,7624528,,
1976,06,CA,California,REPUBLICAN,REPUBLICAN,3882244,7803770,49.75,0.4974831395594693,"FORD, GERALD",0,3742284,3882244,7624528,0.5091782730681821,50.92
1976,08,CO,Colorado,DEMOCRAT,DEMOCRAT,460801,1081440,42.61,0.4260994599792869,"CARTER, JIMMY",0,460801,584278,1045079,0.4409245616838536,44.09
1976,08,CO,Colorado,LIBERTARIAN,LIBERTARIAN,5338,1081440,0.49,0.004936011244266903,"MACBRIDE, ROGER",0,460801,584278,1045079,,
1976,08,CO,Colorado,COMMUNIST PARTY USE,OTHER,403,1081440,0.04,0.00037265127977511464,"HALL, GUS",0,460801,584278,1045079,,
1976,08,CO,Colorado,INDEPENDENT,OTHER,26047,1081440,2.41,0.024085478621097795,"MCCARTHY, EUGENE """"GENE""""",0,460801,584278,1045079,,
1976,08,CO,Colorado,PROHIBITION,OTHER,2886,1081440,0.27,0.002668664003550821,"BUBAR, BENJAMIN """"BEN""""",0,460801,584278,1045079,,
1976,08,CO,Colorado,SOCIALIST WORKERS,OTHER,1122,1081440,0.1,0.0010375055481580116,"CAMEJO, PETER",0,460801,584278,1045079,,
1976,08,CO,Colorado,U.S. LABOR,OTHER,565,1081440,0.05,0.0005224515460866992,"LAROUCHE, LYNDON, JR.",0,460801,584278,1045079,,
1976,08,CO,Colorado,REPUBLICAN,REPUBLICAN,584278,1081440,54.03,0.5402777777777777,"FORD, GERALD",0,460801,584278,1045079,0.5590754383161465,55.91
1976,09,CT,Connecticut,DEMOCRAT,DEMOCRAT,647895,1386355,46.73,0.46733700964038793,"CARTER, JIMMY",0,647895,719261,1367156,0.4738998329378652,47.39
1976,09,CT,Connecticut,AMERICAN INDEPENDENT PARTY,OTHER,7101,1386355,0.51,0.005122064694829246,"MADDOX, LESTER",0,647895,719261,1367156,,
1976,09,CT,Connecticut,OTHER,OTHER,10309,1386355,0.74,0.0074360463229115195,SCATTERING,0,647895,719261,1367156,,
1976,09,CT,Connecticut,U.S. LABOR,OTHER,1789,1386355,0.13,0.0012904342682790483,"LAROUCHE, LYNDON, JR.",0,647895,719261,1367156,,
1976,09,CT,Connecticut,REPUBLICAN,REPUBLICAN,719261,1386355,51.88,0.5188144450735923,"FORD, GERALD",0,647895,719261,1367156,0.5261001670621348,52.61
1976,10,DE,Delaware,DEMOCRAT,DEMOCRAT,122461,235642,51.97,0.5196908870235357,"CARTER, JIMMY",0,122461,109780,232241,0.527301380893124,52.73
1976,10,DE,Delaware,AMERICAN,OTHER,645,235642,0.27,0.0027372030452975276,"ANDERSON, THOMAS J.",0,122461,109780,232241,,
1976,10,DE,Delaware,NO PARTY AFFILIATION,OTHER,2432,235642,1.03,0.010320740784749748,,0,122461,109780,232241,,
1976,10,DE,Delaware,PROHIBITION,OTHER,103,235642,0.04,0.0004371037421172796,"BUBAR, BENJAMIN """"BEN""""",0,122461,109780,232241,,
1976,10,DE,Delaware,SOCIALIST LABOR,OTHER,86,235642,0.04,0.00036496040603967037,,0,122461,109780,232241,,
1976,10,DE,Delaware,U.S. LABOR,OTHER,135,235642,0.06,0.0005729029629692499,"LAROUCHE, LYNDON, JR.",0,122461,109780,232241,,
1976,10,DE,Delaware,REPUBLICAN,REPUBLICAN,109780,235642,46.59,0.46587620203529084,"FORD, GERALD",0,122461,109780,232241,0.47269861910687605,47.27
1976,11,DC,District Of Columbia,DEMOCRAT,DEMOCRAT,137818,168830,81.63,0.8163122667772316,"CARTER, JIMMY",0,137818,27873,165691,0.8317772238685264,83.18
1976,11,DC,District Of Columbia,INDEPENDENT,OTHER,1195,168830,0.71,0.007078125925487177,,0,137818,27873,165691,,
1976,11,DC,District Of Columbia,OTHER,OTHER,1944,168830,1.15,0.011514541254516378,OTHER,1,137818,27873,165691,,
1976,11,DC,District Of Columbia,REPUBLICAN,REPUBLICAN,27873,168830,16.51,0.16509506604276492,"FORD, GERALD",0,137818,27873,165691,0.16822277613147366,16.82
1976,12,FL,Florida,DEMOCRAT,DEMOCRAT,1636000,3150631,51.93,0.5192610623078361,"CARTER, JIMMY",0,1636000,1469531,3105531,0.526802018720792,52.68
1976,12,FL,Florida,AMERICAN,OTHER,21325,3150631,0.68,0.006768485424030932,"ANDERSON, THOMAS J.",0,1636000,1469531,3105531,,
1976,12,FL,Florida,INDEPENDENT,OTHER,23643,3150631,0.75,0.007504211061212817,"MCCARTHY, EUGENE """"GENE""""",0,1636000,1469531,3105531,,
1976,12,FL,Florida,OTHER,OTHER,132,3150631,0.0,4.1896369330461105e-05,,1,1636000,1469531,3105531,,
1976,12,FL,Florida,REPUBLICAN,REPUBLICAN,1469531,3150631,46.64,0.46642434483758966,"FORD, GERALD",0,1636000,1469531,3105531,0.473197981279208,47.32
1976,13,GA,Georgia,DEMOCRAT,DEMOCRAT,979409,1463152,66.94,0.6693829485931742,"CARTER, JIMMY",0,979409,483743,1463152,0.6693829485931742,66.94
1976,13,GA,Georgia,REPUBLICAN,REPUBLICAN,483743,1463152,33.06,0.3306170514068258,"FORD, GERALD",0,979409,483743,1463152,0.3306170514068258,33.06
1976,15,HI,Hawaii,DEMOCRAT,DEMOCRAT,147375,291301,50.59,0.5059199934088795,"CARTER, JIMMY",0,147375,140003,287378,0.5128263123829938,51.28
1976,15,HI,Hawaii,LIBERTARIAN,LIBERTARIAN,3923,291301,1.35,0.013467169697323388,"MACBRIDE, ROGER",0,147375,140003,287378,,
1976,15,HI,Hawaii,REPUBLICAN,REPUBLICAN,140003,291301,48.06,0.48061283689379714,"FORD, GERALD",0,147375,140003,287378,0.4871736876170062,48.72
1976,16,ID,Idaho,DEMOCRAT,DEMOCRAT,126549,340932,37.12,0.37118545633733413,"CARTER, JIMMY",0,126549,204151,330700,0.38267009374055033,38.27
1976,16,ID,Idaho,LIBERTARIAN,LIBERTARIAN,3558,340932,1.04,0.010436098694167752,"MACBRIDE, ROGER",0,126549,204151,330700,,
1976,16,ID,Idaho,AMERICAN,OTHER,5935,340932,1.74,0.017408163504745815,"MADDOX, LESTER",0,126549,204151,330700,,
1976,16,ID,Idaho,U.S. LABOR,OTHER,739,340932,0.22,0.0021675876714418126,"LAROUCHE, LYNDON, JR.",0,126549,204151,330700,,
1976,16,ID,Idaho,REPUBLICAN,REPUBLICAN,204151,340932,59.88,0.5988026937923104,"FORD, GERALD",0,126549,204151,330700,0.6173299062594496,61.73
