year,state_fips,state_abbr,state_name,office,candidate,party_detailed,party_simplified,writein,candidatevotes,totalvotes,vote_pct,version,notes,electoral_votes,electoral_votes_won_state,electoral_votes_won_election
1976,01,AL,Alabama,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,659170,1182850,55.73,20210113,,9,9,297
1976,01,AL,Alabama,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,1481,1182850,0.13,20210113,,9,0,0
1976,01,AL,Alabama,US PRESIDENT,,OTHER,OTHER,True,308,1182850,0.03,20210113,,9,0,0
1976,01,AL,Alabama,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,OTHER,False,6669,1182850,0.56,20210113,,9,0,0
1976,01,AL,Alabama,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,OTHER,False,1954,1182850,0.17,20210113,,9,0,0
1976,01,AL,Alabama,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,OTHER,False,9198,1182850,0.78,20210113,,9,0,0
1976,01,AL,Alabama,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,504070,1182850,42.61,20210113,,9,0,241
1976,02,AK,Alaska,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,44058,123574,35.65,20210113,,3,0,297
1976,02,AK,Alaska,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,6785,123574,5.49,20210113,,3,0,0
1976,02,AK,Alaska,US PRESIDENT,,OTHER,OTHER,True,1176,123574,0.95,20210113,,3,0,0
1976,02,AK,Alaska,US PRESIDENT,"FORD, GERALD",REPUBLICAN,REPUBLICAN,False,71555,123574,57.9,20210113,,3,3,241
1976,04,AZ,Arizona,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,DEMOCRAT,False,295602,742719,39.8,20210113,,6,0,297
1976,04,AZ,Arizona,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,LIBERTARIAN,False,7647,742719,1.03,20210113,,6,0,0
1976,04,AZ,Arizona,US PRESIDENT,,OTHER,OTHER,True,22,742719,0.0,20210113,,6,0,0
1976,04,AZ,Arizona,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,OTHER,False,564,742719,0.08,20210113,,6,0,0
1976,04,AZ,Arizona,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,OTHER,False,928,742719,0.12,20210113,,6,0,0
1976,04,AZ,Arizona,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,OTHER,False,85,742719,0.01,20210113,,6,0,0
1976,04,AZ,Arizona,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,OTHER,False,19229,742719,2.59,20210113,,6,0,0
