year,state,national_partisanship,state_partisanship,pvi
1976,Alabama,2.27,13.33,11.06
1976,Alaska,2.27,-23.78,-26.05
1976,Arizona,2.27,-17.23,-19.5
1976,Arkansas,2.27,30.1,27.83
1976,California,2.27,-1.84,-4.11
1976,Colorado,2.27,-11.82,-14.09
1976,Connecticut,2.27,-5.22,-7.49
1976,Delaware,2.27,5.46,3.19
1976,District Of Columbia,2.27,66.36,64.09
1976,Florida,2.27,5.36,3.09
1976,Georgia,2.27,33.88,31.61
1976,Hawaii,2.27,2.57,0.3
1976,Idaho,2.27,-23.47,-25.74
1976,Illinois,2.27,-2.01,-4.28
1976,Indiana,2.27,-7.7,-9.97
1976,Iowa,2.27,-1.03,-3.3
1976,Kansas,2.27,-7.75,-10.02
1976,Kentucky,2.27,7.31,5.04
1976,Louisiana,2.27,5.92,3.65
1976,Maine,2.27,-0.86,-3.13
1976,Maryland,2.27,6.07,3.8
1976,Massachusetts,2.27,16.23,13.96
1976,Michigan,2.27,-5.49,-7.76
1976,Minnesota,2.27,13.28,11.01
1976,Mississippi,2.27,1.94,-0.33
1976,Missouri,2.27,3.68,1.41
1976,Montana,2.27,-7.57,-9.84
1976,Nebraska,2.27,-21.25,-23.52
1976,Nevada,2.27,-4.54,-6.81
1976,New Hampshire,2.27,-11.48,-13.75
1976,New Jersey,2.27,-2.2,-4.47
1976,New Mexico,2.27,-2.49,-4.76
1976,New York,2.27,6.89,4.62
1976,North Carolina,2.27,11.11,8.84
1976,North Dakota,2.27,-6.08,-8.35
1976,Ohio,2.27,0.23,-2.04
1976,Oklahoma,2.27,-1.23,-3.5
1976,Oregon,2.27,-0.17,-2.44
1976,Pennsylvania,2.27,2.71,0.44
1976,Rhode Island,2.27,11.34,9.07
1976,South Carolina,2.27,13.13,10.86
1976,South Dakota,2.27,-1.49,-3.76
1976,Tennessee,2.27,13.15,10.88
1976,Texas,2.27,3.2,0.93
1976,Utah,2.27,-29.96,-32.23
1976,Vermont,2.27,-12.68,-14.95
1976,Virginia,2.27,-1.37,-3.64
1976,Washington,2.27,-4.04,-6.31
1976,West Virginia,2.27,16.14,13.87
1976,Wisconsin,2.27,1.72,-0.55
1976,Wyoming,2.27,-19.67,-21.94
1980,Alabama,-10.32,-1.35,8.97
1980,Alaska,-10.32,-34.6,-24.28
1980,Arizona,-10.32,-36.42,-26.1
1980,Arkansas,-10.32,-0.64,9.68
1980,California,-10.32,-18.93,-8.61
1980,Colorado,-10.32,-27.86,-17.54
1980,Connecticut,-10.32,-11.11,-0.79
1980,Delaware,-10.32,-2.53,7.79
1980,District Of Columbia,-10.32,69.63,79.95
1980,Florida,-10.32,-18.1,-7.78
1980,Georgia,-10.32,15.32,25.64
1980,Hawaii,-10.32,2.17,12.49
1980,Idaho,-10.32,-45.03,-34.71
1980,Illinois,-10.32,-8.68,1.64
1980,Indiana,-10.32,-19.59,-9.27
1980,Iowa,-10.32,-14.13,-3.81
1980,Kansas,-10.32,-26.95,-16.63
1980,Kentucky,-10.32,-1.43,8.89
1980,Louisiana,-10.32,-5.62,4.7
1980,Maine,-10.32,-3.82,6.5
1980,Maryland,-10.32,3.24,13.56
1980,Massachusetts,-10.32,-0.18,10.14
1980,Michigan,-10.32,-7.09,3.23
1980,Minnesota,-10.32,4.43,14.75
1980,Mississippi,-10.32,-1.36,8.96
1980,Missouri,-10.32,-7.13,3.19
1980,Montana,-10.32,-27.33,-17.01
1980,Nebraska,-10.32,-43.16,-32.84
1980,Nevada,-10.32,-39.85,-29.53
1980,New Hampshire,-10.32,-34.14,-23.82
1980,New Jersey,-10.32,-14.82,-4.5
1980,New Mexico,-10.32,-19.82,-9.5
1980,New York,-10.32,1.69,12.01
1980,North Carolina,-10.32,-2.2,8.12
1980,North Dakota,-10.32,-41.96,-31.64
1980,Ohio,-10.32,-11.47,-1.15
1980,Oklahoma,-10.32,-26.74,-16.42
1980,Oregon,-10.32,-11.11,-0.79
1980,Pennsylvania,-10.32,-7.72,2.6
1980,Rhode Island,-10.32,12.33,22.65
1980,South Carolina,-10.32,-1.27,9.05
1980,South Dakota,-10.32,-31.27,-20.95
1980,Tennessee,-10.32,-0.3,10.02
1980,Texas,-10.32,-14.33,-4.01
1980,Utah,-10.32,-55.93,-45.61
1980,Vermont,-10.32,-7.18,3.14
1980,Virginia,-10.32,-13.63,-3.31
1980,Washington,-10.32,-14.19,-3.87
1980,West Virginia,-10.32,4.74,15.06
1980,Wisconsin,-10.32,-5.18,5.14
1980,Wyoming,-10.32,-38.27,-27.95
1984,Alabama,-18.25,-22.53,-4.28
1984,Alaska,-18.25,-38.11,-19.86
1984,Arizona,-18.25,-34.23,-15.98
1984,Arkansas,-18.25,-22.46,-4.21
1984,California,-18.25,-16.45,1.8
1984,Colorado,-18.25,-28.73,-10.48
1984,Connecticut,-18.25,-22.0,-3.75
1984,Delaware,-18.25,-19.91,-1.66
1984,District Of Columbia,-18.25,72.3,90.55
1984,Florida,-18.25,-30.66,-12.41
1984,Georgia,-18.25,-20.4,-2.15
1984,Hawaii,-18.25,-11.41,6.84
1984,Idaho,-18.25,-46.55,-28.3
1984,Illinois,-18.25,-12.95,5.3
1984,Indiana,-18.25,-24.15,-5.9
1984,Iowa,-18.25,-7.45,10.8
1984,Kansas,-18.25,-34.06,-15.81
1984,Kentucky,-18.25,-20.73,-2.48
1984,Louisiana,-18.25,-22.84,-4.59
1984,Maine,-18.25,-22.14,-3.89
1984,Maryland,-18.25,-5.52,12.73
1984,Massachusetts,-18.25,-2.8,15.45
1984,Michigan,-18.25,-19.09,-0.84
1984,Minnesota,-18.25,0.18,18.43
1984,Mississippi,-18.25,-24.63,-6.38
1984,Missouri,-18.25,-20.05,-1.8
1984,Montana,-18.25,-22.6,-4.35
1984,Nebraska,-18.25,-42.01,-23.76
1984,Nevada,-18.25,-34.63,-16.38
1984,New Hampshire,-18.25,-37.87,-19.62
1984,New Jersey,-18.25,-21.04,-2.79
1984,New Mexico,-18.25,-20.7,-2.45
1984,New York,-18.25,-5.88,12.37
1984,North Carolina,-18.25,-24.06,-5.81
1984,North Dakota,-18.25,-31.47,-13.22
1984,Ohio,-18.25,-18.94,-0.69
1984,Oklahoma,-18.25,-38.22,-19.97
1984,Oregon,-18.25,-12.21,6.04
1984,Pennsylvania,-18.25,-7.4,10.85
1984,Rhode Island,-18.25,-3.66,14.59
1984,South Carolina,-18.25,-28.24,-9.99
1984,South Dakota,-18.25,-26.6,-8.35
1984,Tennessee,-18.25,-16.36,1.89
1984,Texas,-18.25,-27.57,-9.32
1984,Utah,-18.25,-50.24,-31.99
1984,Vermont,-18.25,-17.33,0.92
1984,Virginia,-18.25,-25.35,-7.1
